iter	Passed	Remaining
631	327178	190508
632	327671	189976
633	328224	189479
634	328688	188931
635	329196	188407
636	329671	187865
637	330163	187334
638	330656	186803
639	331128	186259
640	331784	185819
641	332293	185297
642	332751	184746
643	333245	184216
644	333698	183663
645	334198	183136
646	334709	182615
647	335376	182179
648	335971	181703
649	336602	181247
650	337043	180688
651	337459	180116
652	337879	179546
653	338261	178958
654	338650	178372
655	339066	177803
656	339790	177394
657	340361	176905
658	340760	176326
659	341165	175751
660	341515	175149
661	341886	174558
662	342279	173979
663	342680	173404
664	343079	172829
665	343466	172248
666	343873	171678
667	344281	171110
668	344693	170543
669	345066	169958
670	345486	169396
671	345911	168837
672	346308	168265
673	346670	167677
674	347100	167122
675	347471	166539
676	347862	165967
677	348254	165395
678	348708	164853
679	349050	164259
680	349479	163706
681	349884	163142
682	350292	162580
683	350759	162046
684	351152	161478
685	351589	160931
686	351990	160368
687	352339	159781
688	352737	159218
689	353152	158662
690	353560	158104
691	353981	157552
692	354386	156993
693	354827	156451
694	355261	155906
695	355727	155375
696	356126	154815
697	356541	154262
698	356945	153706
699	357314	153134
700	357690	152567
701	358081	152006
702	358484	151450
703	358866	150887
704	359313	150351
705	359692	149786
706	360079	149226
707	360483	148673
708	360932	148140
709	361338	147588
710	361680	147012
711	362032	146439
712	362468	145902
713	362894	145361
714	363303	144813
715	363684	144254
716	364097	143709
717	364464	143146
718	364896	142609
719	365289	142057
720	365691	141508
721	366114	140969
722	366565	140440
723	367008	139909
724	367432	139371
725	367838	138826
726	368244	138281
727	368648	137736
728	369112	137214
729	369487	136659
730	369893	136116
731	370281	135567
732	370755	135050
733	371146	134502
734	371540	133956
735	371995	133433
736	372450	132909
737	372842	132364
738	373201	131807
739	373630	131275
740	374008	130726
741	374406	130184
742	374815	129646
743	375200	129101
744	375599	128560
745	376039	128034
746	376468	127505
747	376923	126985
748	377394	126469
749	377808	125936
750	378288	125424
751	378675	124882
752	379118	124359
753	379487	123811
754	379915	123283
755	380395	122772
756	380781	122232
757	381141	121683
758	381540	121147
759	381916	120605
760	382316	120070
761	382742	119544
762	383157	119014
763	383617	118499
764	384059	117978
765	384419	117433
766	384858	116912
767	385326	116400
768	385812	115894
769	386245	115371
770	386680	114850
771	387145	114338
772	387553	113809
773	387922	113269
774	388278	112725
775	388678	112195
776	389114	111676
777	389562	111160
778	389921	110619
779	390352	110099
780	390707	109558
781	391153	109042
782	391524	108506
783	391892	107970
784	392308	107447
785	392770	106937
786	393139	106402
787	393536	105875
788	394000	105366
789	394436	104850
790	394870	104333
791	395307	103818
792	395701	103291
793	396127	102773
794	396506	102243
795	396896	101717
796	397282	101190
797	397673	100664
798	398164	100164
799	398544	99636
800	398956	99116
801	399382	98600
802	399798	98082
803	400210	97563
804	400636	97048
805	401111	96545
806	401536	96030
807	401994	95523
808	402455	95017
809	402968	94523
810	403358	94001
811	403752	93479
812	404204	92972
813	404554	92441
814	404943	91919
815	405350	91402
816	405772	90889
817	406136	90362
818	406519	89841
819	406932	89326
820	407323	88807
821	407677	88280
822	408100	87768
823	408555	87264
824	408941	86745
825	409374	86236
826	409803	85726
827	410205	85211
828	410609	84697
829	411013	84183
830	411409	83668
831	411873	83166
832	412235	82644
833	412643	82132
834	413019	81614
835	413381	81094
836	413760	80576
837	414171	80066
838	414571	79554
839	414947	79037
840	415358	78527
841	415725	78010
842	416145	77502
843	416568	76996
844	416995	76490
